code,Month,Point
Australian Capital Territory,9,123
New South Wales,9,29318
Northern Territory,9,37156
Queensland,9,44599
South Australia,9,1274
Tasmania,9,503
Victoria,9,455
Western Australia,9,12042
Australian Capital Territory,10,153
New South Wales,10,48705
Northern Territory,10,91689
Queensland,10,72307
South Australia,10,8542
Tasmania,10,1114
Victoria,10,1004
Western Australia,10,43289
Australian Capital Territory,11,234
New South Wales,11,210839
Northern Territory,11,112397
Queensland,11,122139
South Australia,11,9982
Tasmania,11,1384
Victoria,11,3843
Western Australia,11,110740
Australian Capital Territory,12,7923
New South Wales,12,415495
Northern Territory,12,148347
Queensland,12,225276
South Australia,12,19229
Tasmania,12,3038
Victoria,12,57810
Western Australia,12,197421
Australian Capital Territory,13,29820
New South Wales,13,441376
Northern Territory,13,150727
Queensland,13,247409
South Australia,13,21755
Tasmania,13,5655
Victoria,13,170585
Western Australia,13,235519
