GrLivArea,SalePrice
16,44761
10.25,41928
17.75,34645
11.75,33343
9.25,32551
10,32539
13.5,32096
14,28983
15.5,27902
22.75,27349
12.5,26490
6,26389
19.5,25417
12,24515
12.75,23816
10.75,22058
20,21973
21,21686
13,21645
8,20606
14.5,20546
16.25,19761
17,19024
18,18370
7,16847
19,16105
15.75,16001
21.25,15631
13.66666667,14965
18.25,14718
8.75,14428
11.5,14230
18.5,13054
13.25,12777
15.25,12704
13.75,12159
23.33333333,11473
9.666666667,11461
17.5,11230
15,11060
16.75,10974
6.333333333,10826
11,10701
20.5,10193
9.5,10175
14.75,10138
9.333333333,9710
14.25,9700
12.25,9610
5.25,9326
9.75,8814
15.66666667,8519
4.666666667,8514
11.33333333,8471
7.666666667,8291
4,8237
22.5,8127
27.5,7928
25.5,7772
14.66666667,7347
6.25,7145
23,6976
6.5,6934
10.5,6896
18.75,6819
15.33333333,6798
12.33333333,6757
9,6458
18.66666667,6370
19.25,6196
11.25,6155
21.75,6152
11.66666667,5935
5.5,5886
22.66666667,5820
17.33333333,5744
27,5686
19.75,5662
20.33333333,5554
21.5,5481
16.5,5195
8.666666667,5027
25,4771
4.5,4751
26.66666667,4628
8.25,4560
16.33333333,4559
22,4252
20.25,4200
20.75,4157
6.666666667,3992
8.5,3603
16.66666667,3548
23.66666667,3535
14.33333333,3535
6.75,3521
44,3445
29.5,3441
25.33333333,3388
20.66666667,3377
22.33333333,3280
17.66666667,3027
21.66666667,2985
30,2552
7.5,2446
4.75,2435
26,2205
28.75,2186
26.33333333,2034
24.75,1926
27.25,1792
19.33333333,1786
10.33333333,1525
21.33333333,1495
25.66666667,1485
24.66666667,1276
5,1199
10.66666667,1103
19.66666667,720
13.33333333,672
7.333333333,662
23.75,639
17.25,637
7.25,588
23.5,494
24,473
27.66666667,418
3.333333333,412
5.666666667,410
27.33333333,405
12.66666667,372
24.25,302
24.33333333,267
37.5,257
23.25,233
22.25,138
29.75,120
29.66666667,109
36,36
18.33333333,34
7.75,28
26.25,27
26.5,27
30.66666667,23
31,14
3,11
31.25,9
32,9
28.33333333,8
25.75,8
24.5,7
37,7
33.75,5
2,3
26.75,2
28,2
29,2
31.33333333,1
